0 0 
0.0926263 -0.139859
0.201817 -0.149111
-0.0234157 -0.227105
0.0293967 0.414761
0.0295248 0.246809
-0.0534482 0.166816
-0.0362079 0.0359825
0.0449346 -0.0313265
-0.191143 -0.317101
-0.112584 -0.220709
0.230809 -0.223086
0.0804656 -0.202396
-0.142127 -0.243753
-0.0160908 -0.261922
0.189381 -0.151256
0.498287 -0.266177
0.140373 -0.153248
0.277711 -0.201458
-0.0439508 -0.169388
-0.0249374 0.173627
-0.222519 -0.691231
-0.0463714 -1.6669
-0.161359 -1.66679
0.187099 -1.85345
-0.179914 -1.74022
3.33661 -1.50722
3.59049 -0.795
3.55659 -0.250883
3.58582 -0.130838
3.59148 0.0414405
3.54212 0.453164
3.39047 1.42131
3.54478 0.604889
3.64303 0.767926
3.69056 0.85601
3.62751 0.968268
3.65085 1.07955
3.34298 0.90074
3.69778 3.12993
3.10451 3.64991
3.15564 3.523
3.17162 3.38432
3.1272 3.77955
3.01189 4.05827
